ID	Alter	Gender	DeutschL1	Legasthenie	Univerb1	Univerb1F	Parenth1	Parenth2	Univerb2	Univerb2F	Univerb3	Univerb3F	Parenth3	Univerb4	Univerb4F	Parenth4	Parenth5	Univerb5	Univerb5F	Univerb6	Univerb6F	Univerb7	Univerb7F	Parenth6	Univerb8	Univerb8F	Anmerkungen
6212	44	w	1	0	Bergsteigen	1	StrichStrich	StrichStrich	Platz zu machen	0	probegehört	1	NullNull	Teetrinken	1	StrichStrich	NullNull	Spaß haben	0	Seil zu springen	0	Mut gemacht	0	StrichStrich	Bogenschießen	1	16: Extrapositionskomma
6211	20	w	1	0	Bergsteigen	1	KommaKomma	NullNull	Platz zu machen	0	probe-gehört	1	NullNull	teetrinken	1	KommaKomma	NullNull	Spaßhaben	1	Seil zu springen	0	Mut gemacht	0	KommaKomma	Bogenschießen	1	11: doppeltes Vorfeldkomma
6210	20	w	1	0	Bergsteigen	1	KommaKomma	NullNull	Platz zu machen	0	probegehört	1	NullNull	Teetrinken	1	KommaKomma	NullNull	Spaß haben	0	Seil zu springen	0	Mut gemacht	0	NullNull	Bogenschießen	1	16: Extrapositionskomma
6209	21	w	1	0	Bergsteigen	1	KommaKomma	NullNull	Platz zu machen	0	probegehört	1	NullNull	Teetrinken	1	KommaKomma	NullNull	Spaß haben	0	Seilzuspringen	1	Mut gemacht	0	NullNull	Bogenschießen	1	14: Korrektur von ZSS, 19: Korrektur von KommaKomma
6208	18	w	1	0	Bergsteigen	1	KommaKomma	NullNull	Platz zu machen	0	probegehört	1	NullNull	Teetrinken	1	NullNull	NullNull	Spaß haben	0	Seil zu springen	0	Mut gemacht	0	NullNull	Bogenschießen	1	
6207	20	w	1	0	Bergsteigen	1	KommaKomma	NullNull	Platz zu machen	0	Probe gehört	0	NullNull	Tee trinken	0	KommaKomma	NullNull	Spaß haben	0	Seil zu springen	0	Mut gemacht	0	KommaKomma	Bogenschießen	1	19: in einem, sicherlich, tiefem[!] See
6206	29	w	1	0	Bergsteigen	1	NullNull	NullNull	Platz zu machen	0	Probe gehört	0	NullNull	Tee trinken	0	KommaKomma	NullNull	Spaßhaben	1	Seil zu springen	0	Mut gemacht	0	NullNull	Bogenschießen	1	7: Extrapositionskomma
6205	25	w	1	0	Bergsteigen	1	NullNull	NullNull	Platz zu machen	0	Probe gehört	0	NullNull	Teetrinken	1	NullNull	NullNull	Spaßhaben	1	Seilzuspringen	1	Mut gemacht	0	NullNull	Bogenschießen	1	7: Extrapositionskomma
7205	19	w	1	0	Bergsteigen	1	KommaKomma	NullNull	Platz zu machen	0	probegehört	1	NullNull	Teetrinken	1	KommaKomma	NullNull	Spaß haben	0	Seil zu springen	0	Mut gemacht	0	KommaKomma	Bogenschießen	1	7: Extrapositionskomma, 16: Extrapositionskomma
7204	21	m	1	0	Bergsteigen	1	KommaKomma	NullNull	Platz zu machen	0	probegehört	1	NullNull	Teetrinken	1	KommaKomma	NullNull	Spaß haben	0	Seil zu springen	0	Mut gemacht	0	KommaKomma	Bogenschießen	1	16: doppeltes Extrapositionskomma,17: Konstituentenkommas überall
7203	20	w	1	0	Bergsteigen	1	KommaKomma	KommaKomma	Platz zu machen	0	Probe gehört	0	NullNull	Tee trinken	0	KommaKomma	NullNull	Spaß haben	0	Seil zu springen	0	Mut gemacht	0	KommaKomma	Bogenschießen	1	11: doppeltes Vorfeldkomma, 17: satzint. PP-Koma
7202	21	w	1	0	Bergsteigen	1	KommaKomma	NullNull	Platz zu machen	0	probegehört	1	NullNull	Teetrinken	1	KommaKomma	NullNull	Spaßhaben	1	Seil zu springen	0	Mut gemacht	0	KommaKomma	Bogenschießen	1	
7201	19	w	1	0	Bergsteigen	1	KommaKomma	NullNull	Platz zu machen	0	probegehört	1	NullNull	Tee trinken	0	KommaKomma	NullNull	Spaß haben	0	Seil zu springen	0	Mut gemacht	0	NullNull	Bogenschießen	1	
7200	21	w	1	0	Bergsteigen	1	KommaNull	NullNull	Platz zu machen	0	probegehört	1	NullNull	Teetrinken	1	KommaKomma	NullNull	Spaß haben	0	Seil zu springen	0	Mut gemacht	0	NullNull	Bogenschießen	1	5: endlich, harte, 11: doppeltes VfK
